,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
209,2005,1,3,27,7,2005-03-27,WN,19393,WN,N727SW,2509,13232,1323201,30977,MDW,"Chicago, IL",IL,17,Illinois,41,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,710,710.0,0.0,0.0,0.0,0.0,0700-0759,10.0,720.0,920.0,3.0,1000,923.0,-37.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,230.0,193.0,180.0,1.0,1444.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2012,3,9,22,6,2012-09-22,EV,20366,EV,N16170,4169,11042,1104202,30647,CLE,"Cleveland, OH",OH,39,Ohio,44,10821,1082103,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,1245,1243.0,-2.0,0.0,0.0,-1.0,1200-1259,10.0,1253.0,1345.0,5.0,1405,1350.0,-15.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,80.0,67.0,52.0,1.0,314.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2013,3,8,11,7,2013-08-11,UA,19977,UA,N580UA,796,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,828,833.0,5.0,5.0,0.0,0.0,0800-0859,14.0,847.0,1021.0,8.0,1020,1029.0,9.0,9.0,0.0,0.0,1000-1059,0.0,,0.0,292.0,296.0,274.0,1.0,2065.0,9,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2002,2,4,17,3,2002-04-17,WN,19393,WN,N105,143,11259,1125902,30194,DAL,"Dallas, TX",TX,48,Texas,74,12896,1289602,32896,LBB,"Lubbock, TX",TX,48.0,Texas,74,2120,2120.0,0.0,0.0,0.0,0.0,2100-2159,5.0,2125.0,2212.0,3.0,2220,2215.0,-5.0,0.0,0.0,-1.0,2200-2259,0.0,,0.0,60.0,55.0,47.0,1.0,293.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2018,1,1,22,1,2018-01-22,WN,19393,WN,N747SA,1912,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,12953,1295304,31703,LGA,"New York, NY",NY,36.0,New York,22,1155,1204.0,9.0,9.0,0.0,0.0,1100-1159,11.0,1215.0,1532.0,3.0,1535,1535.0,0.0,0.0,0.0,0.0,1500-1559,0.0,,0.0,160.0,151.0,137.0,1.0,1107.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2015,2,5,23,6,2015-05-23,US,20355,US,N542UW,2068,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,810,811.0,1.0,1.0,0.0,0.0,0800-0859,19.0,830.0,1310.0,33.0,1323,1343.0,20.0,20.0,1.0,1.0,1300-1359,0.0,,0.0,193.0,212.0,160.0,1.0,1337.0,6,1.0,0.0,19.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1998,4,11,20,5,1998-11-20,UA,19977,UA,N403UA,639,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,815,812.0,-3.0,0.0,0.0,-1.0,0800-0859,12.0,824.0,917.0,3.0,947,920.0,-27.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,152.0,128.0,113.0,1.0,719.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2012,2,6,17,7,2012-06-17,EV,20366,EV,N14203,4152,12177,1217703,32177,HOB,"Hobbs, NM",NM,35,New Mexico,86,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,74,645,635.0,-10.0,0.0,0.0,-1.0,0600-0659,12.0,647.0,859.0,12.0,925,911.0,-14.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,100.0,96.0,72.0,1.0,501.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2008,3,8,20,3,2008-08-20,F9,20436,F9,N808FR,837,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,2120,2127.0,7.0,7.0,0.0,0.0,2100-2159,18.0,2145.0,2323.0,6.0,2306,2329.0,23.0,23.0,1.0,1.0,2300-2359,0.0,,0.0,166.0,182.0,158.0,1.0,1024.0,5,6.0,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2016,2,4,22,5,2016-04-22,UA,19977,UA,N68802,1425,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12.0,Florida,33,710,705.0,-5.0,0.0,0.0,-1.0,0700-0759,16.0,721.0,1016.0,9.0,1040,1025.0,-15.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,150.0,140.0,115.0,1.0,966.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1997,4,11,9,7,1997-11-09,DL,19790,DL,N629DL,476,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1400,1405.0,5.0,5.0,0.0,0.0,1400-1459,19.0,1424.0,1823.0,16.0,1830,1839.0,9.0,9.0,0.0,0.0,1800-1859,0.0,,0.0,150.0,154.0,119.0,1.0,1055.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2005,4,12,24,6,2005-12-24,MQ,20398,MQ,N690AE,3480,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1455,1507.0,12.0,12.0,0.0,0.0,1400-1459,11.0,1518.0,1556.0,5.0,1552,1601.0,9.0,9.0,0.0,0.0,1500-1559,0.0,,0.0,57.0,54.0,38.0,1.0,175.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1996,3,9,15,7,1996-09-15,HP,19991,HP,N183AW,2024,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,1320,1320.0,0.0,0.0,0.0,0.0,1300-1359,20.0,1340.0,1445.0,7.0,1436,1452.0,16.0,16.0,1.0,1.0,1400-1459,0.0,,0.0,76.0,92.0,65.0,1.0,370.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2001,2,6,16,6,2001-06-16,UA,19977,UA,N7260ä,689,12953,1295301,31703,LGA,"New York, NY",NY,36,New York,22,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1000,1026.0,26.0,26.0,1.0,1.0,1000-1059,10.0,1036.0,1112.0,5.0,1132,1117.0,-15.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,152.0,111.0,96.0,1.0,733.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2014,4,10,7,2,2014-10-07,MQ,20398,MQ,N813MQ,3133,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10136,1013603,30136,ABI,"Abilene, TX",TX,48.0,Texas,74,2150,2148.0,-2.0,0.0,0.0,-1.0,2100-2159,8.0,2156.0,2224.0,3.0,2235,2227.0,-8.0,0.0,0.0,-1.0,2200-2259,0.0,,0.0,45.0,39.0,28.0,1.0,158.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2009,3,8,30,7,2009-08-30,WN,19393,WN,N394SW,1476,11259,1125902,30194,DAL,"Dallas, TX",TX,48,Texas,74,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,1940,1955.0,15.0,15.0,1.0,1.0,1900-1959,7.0,2002.0,2035.0,3.0,2030,2038.0,8.0,8.0,0.0,0.0,2000-2059,0.0,,0.0,50.0,43.0,33.0,1.0,189.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2003,4,12,26,5,2003-12-26,AA,19805,AA,N205AA,1860,14683,1468301,33214,SAT,"San Antonio, TX",TX,48,Texas,74,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1749,1743.0,-6.0,0.0,0.0,-1.0,1700-1759,10.0,1753.0,1839.0,11.0,1857,1850.0,-7.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,68.0,67.0,46.0,1.0,247.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1993,2,5,30,7,1993-05-30,WN,19393,WN,,535,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,810,810.0,0.0,0.0,0.0,0.0,0800-0859,,,,,1100,1051.0,-9.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,110.0,101.0,,1.0,677.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
